"Authors:Hyeon-eui Kim, Philippe Rocca-Serra, Alejandra Gonzalez-Beltran",,,,,,,,,,,,
,authentications,"Types of verification of the credentials for accessing the resource, it is the identification process at the time of access. ideally specified from a controlled vocabulary or ontology.",Annotation (see worksheet 'Access Types' for CV defined by WG7),0..n,SHOULD,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Grant,,An allocated sum of funds given by a government or other organization for a particular purpose,,,,,,,,,,
,identifier,Primary identifier for the grant.,IdentifiersInformation,0..1,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the grant.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the grant.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the grant and its funding program.,string,1,MUST,,,,,,,
,funds,The study or dataset supported by the grant.,Study or Dataset,0..n,SHOULD,,,,,,,
,funders,The person(s) or organization(s) which has awarded the funds supporting the project.,(Person or Organization) and role funder,1..n,MUST,,,,,,,
,awardees,The person(s) or organization(s) which received the funds supporting the project.,Person or Organization,0..n,SHOULD,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
License,,"A legal document giving official permission to do something with a Resource. It is assumed that an external vocabulary will describe with sufficient granularity the permission for redistribution, modification, derivation, reuse, etc. and conditions for citation/acknowledgment.",,,,,,,,,,
,identifier,Primary identifier for the license.,IdentifiersInformation,0..1,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the license.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the license.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the license.,string,1,MUST,,,,,,,
,version,The version of the license.,string,0..1,SHOULD,,,,,,,
,creators,The person(s) or organization(s) responsible for writing the license.,Person or Organization,0..n,SHOULD,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Dimension,,"A feature of an entity, i.e. an individual measurable property (both quantitative or qualitative) of the entity being observed",,,,,"OBSERVATION or MEASUREMENT, considering only the part related to variables; anything related to procedures will be represented as an Activty, under the specific subclass of DataAcquisition",,,,,CONDITION_OCCURRENCE is mapped to Disease (with challenges)
,identifier,Primary identifier for the dimension.,IdentifiersInformation,0..1,SHOULD,,"OBSERVATION, MEASUREMENT","observation_id, measurement_id",,,,
,alternateIdentifiers,Alternate identifiers for the dimension.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the dimension.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,"The name of the dimension measured or observed during the data acquisition process, ideally from a controlled terminology.",Annotation,1,MUST,,"OBSERVATION, MEASUREMENT","observation_concept_id, measurement_concept_id",,,,
,types,"A term, ideally from a controlled terminology, identifying the nature of the dimension, placing it in a typology.",Annotation,1..n,MUST,,"OBSERVATION, MEASUREMENT","observation_type_concept_id, measurement_type_concept_id",,,,
,datatype,"The type of data for this dimension, as described with the DataType entity.",DataType,0..1,MAY,,,,,,,
,partOf,The dataset(s) this dimension belongs to.,Dataset,1..n,MUST,,,,,,,
,description,A textual narrative comprised of one or more statements describing the dimension.,string,0..1,SHOULD,,,,,,,
,values,The actual collections of values collected for that dimension.,array,0..n,SHOULD,,"OBSERVATION, MEASUREMENT","value_as_number, value_ase_string, value_as_concept_id, qualifier_concept_id, value_as_number, value_as_concept_id, operator_concept_id",,,Note that operator_concept_id: not at the level of Dimension but at level of Activity (performer),
,unit,"A reference measurement unit associated with scalar dimensions, ideally from a reference controlled terminology.",Annotation,0..1,MAY,,"OBSERVATION, MEASUREMENT",unit_concept_id,,,,
,isAbout,"A material or a dataset, which is the object of this dimension (this dimension is about the material - e.g. the heights of the patients - or the dataset - e.g. the standard deviation or the set of outliers or a quality indicator of a dataset).",Dataset or Material,0..n,MAY,,PERSON,person_id,,,this links to dataset,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,"OBSERVATION, MEASUREMENT","observation_date, observation_datetime, measurement_date, measurement_datetime, visit_occurrence_id, provider_id",,,These elements should be included in the Activity/DataAcquisition part of the OBSERVATIONs and MEASUREMENTs. To be considered: add a link between Activity and Dimension.,
,,,,,,,,,,,,
DataType,,"The nature of the data, as determined for the information collected, the method used and the platform used.",,,,,,,,,,
,information,The measurements or facts that the data is about.,Annotation,0..1,MAY,,,,,"""clinical observation"" ""medication"" etc",,
,method,The procedure or technology used to generate the information. ,Annotation,0..1,MAY,,,,,,,
,platform,"The set of instruments, software and reagents that are needed to generated the data.",Annotation,0..1,MAY,,,,,,,
,instrument,The specific device used to generate the data.,Annotation,0..1,MAY,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Place,,A spatially bounded entity.,,,,,,,,,,
,identifier,Primary identifier for the place.,IdentifiersInformation,0..1,SHOULD,,LOCATION,location_id,,,,
,alternateIdentifiers,Alternate identifiers for the place.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the place.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the place.,string,0..1,MAY,,,,,,,
,description,A textual narrative comprised of one or more statements describing the place.,string,0..1,MAY,,,,,,,
,postalAddress,A physical street address.,string,0..1,MAY,,LOCATION,"address_1, address_2, city, state, zip, county",,,,
,geometry,"A region of a space: Point, MultiPoint, LineString, MultiLineString, Polygon, MultiPolygon, GeometryCollection.",string,0..1,MAY,,,,,,,
,coordinates,"An array of positions, depending on the geometry.",numeric array,0..1,MAY,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Material,,A physical entity.,,,,,,,,,,
,identifier,Primary identifier for the material.,IdentifiersInformation,0..1,SHOULD,,PERSON,person_id,a unique identifier for each person,,one patient has multiple properties (if extraProperty use is allowed) ,
,alternateIdentifiers,Alternate identifiers for the material.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the material.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the material.,string,1,MUST,,,,,,,
,description,A textual narraive comprised of one or more statements describing the material,string,0..1,SHOULD,,,,,,,
,derivesFrom,A material from which this material originated.,Material or AnatomicalPart,0..n,MAY,,,,,,,
,bearerOfDisease,The pathology affecting the material used in the study or refered to in the dataset (ideally from a controlled vocabulary/ontology).,Disease,0..n,MAY,,CONDITION_OCCURRENCE,condition_occurrence_id,a unique identifier for each condition occurrence event,,person_id is a foreign key ,
,taxonomy,The taxonomic information for this material (ideally specified from a controlled vocabulary/ontology).,TaxonomicInformation,0..n,MAY,,,,,"""homo sapiens""",,
,involvedInBiologicalEntity,A biological process (ideally specified from a controlled vocabulary/ontology) in which the material is involved.,BiologicalEntity,0..n,MAY,,,,,,,
,spatialCoverage,The spatial coordinates denoting the geospatial origin of the material used to produce measurements part of the dataset.,Annotation,0..n,MAY,,,,,,,
,characteristics,The characteristic information or attributes denoting the material.,Dimension or Material,0..n,MAY,,,,,,,
,roles,The roles played by a material.,Annotation,0..n,SHOULD,,,,,"""patient""",,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,"PERSON, DEATH","gender_concept_id, year_of_birth, month_of_birth, day_of_birth, birth_datetime, race_concept_id, death_date, death_datetime, death_type_concept_id, cause_concept_id",,,To consider: Analyse use of extraProperties  to put patient demographics or how to link to a DIMENSION representation. Should DATS add dates to any property? It could be a handy shortcut.,
,,,,,,,,,,,,
Material,,A physical entity.,,,,,SPECIMEN,,,,Material is also used to map SPECIMEN ,
,identifier,Primary identifier for the material.,IdentifiersInformation,0..1,SHOULD,,SPECIMEN,specimen_id,,,,
,alternateIdentifiers,Alternate identifiers for the material.,AlternateIdentifiersInformation,0..n,MAY,,SPECIMEN,,,,,
,relatedIdentifiers,Related identifiers for the material.,RelatedIdentifiersInformation,0..n,MAY,,SPECIMEN,,,,,
,name,The name of the material.,string,1,MUST,,SPECIMEN,specimen_concept_id,,,,
,description,A textual narraive comprised of one or more statements describing the material,string,0..1,SHOULD,,,,,,,
,derivesFrom,A material from which this material originated.,Material or AnatomicalPart,0..n,MAY,,SPECIMEN,person_id or anatomic_site_concept_id (as it covers tissue/body part origin),,,,
,bearerOfDisease,The pathology affecting the material used in the study or refered to in the dataset (ideally from a controlled vocabulary/ontology).,Disease,0..n,MAY,,,,,,,
,taxonomy,The taxonomic information for this material (ideally specified from a controlled vocabulary/ontology).,TaxonomicInformation,0..n,MAY,,,,,,,
,involvedInBiologicalEntity,A biological process (ideally specified from a controlled vocabulary/ontology) in which the material is involved.,BiologicalEntity,0..n,MAY,,,,,,,
,spatialCoverage,The spatial coordinates denoting the geospatial origin of the material used to produce measurements part of the dataset.,Annotation,0..n,MAY,,,,,,,
,characteristics,The characteristic information or attributes denoting the material.,Dimension or Material,0..n,MAY,,,,,,,
,roles,The roles played by a material.,Annotation,0..n,SHOULD,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,SPECIMEN,"specimen_date, specimen_datetime, quantity, unit_concept_id, anatomic_site_concept_id, disease_statis_concept_id",,,"Now, if this extraProperty use is allowed self-reference of Materials would become a way complicated (now, many to many) ",
,,,,,,,,,,,,
Person,,A human being.,,,,,,,,,CDM holder,
,identifier,Primary identifier for the person.,IdentifiersInformation,0..1,SHOULD,,PROVIDER,provider_id,a unique identifier for each Provider,,,
,alternateIdentifiers,Alternate identifiers for the person.,AlternateIdentifiersInformation,0..n,MAY,,PROVIDER,npi,National Provider Identifier (NPI) of the provider,,,
,relatedIdentifiers,Related identifiers for the person.,RelatedIdentifiersInformation,0..n,MAY,,PROVIDER,dea,Drug Enforcement Administration (DEA) number of the provider,,,
,fullName,"The first name, any middle names, and surname of a person.",string,1,SHOULD,,PROVIDER,provider_name,a description of the provider,,,
,firstName,The given name of the person.,string,1,MAY,,,,,,,
,middleInitial,The first letter of the person's middle name.,string,0..n,MAY,,,,,,,
,lastName,The person's family name.,string,1,SHOULD,,,,,,,
,email,An electronic mail address for the person.,string (format=email),0..1,SHOULD,,,,,,,
,affiliations,The organizations to which the person is associated with.,Organization,0..n,SHOULD,,PROVIDER,care_site_id,a goreign key to the main Care Site where the provider is practicing,,foreign key to Care Site,
,roles,"The roles assumed by a person, ideally from a controlled vocabulary/ontology.",Annotation,0..n,MAY,,,,,"""provider"" or ""clinician""",,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,PROVIDER,"specialty_concept_id, year_of_birth, gender_concept_id",,,"To consider: ID uniqueness concern if this is allowed, make Person a subclass of Material, and then it would inherit some properties (e.g. gender)",
,,,,,,,,,,,,
Organization,,Legal or physical entity corresponding to a business or administration,,,,,,,,,,
,identifier,Primary identifier for the organization.,IdentifiersInformation,0..1,SHOULD,,CARE_SITE,care_site_id,a unique identifier for each Care Site,,,
,alternateIdentifiers,Alternate identifiers for the organization.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the organization.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the organization.,string,1,MUST,,CARE_SITE,care_site_name,the description or name of the Care Site,,,
,abbreviation,"The shortname, abbreviation associated to the organization.",string,0..1,MAY,,,,,,,
,postalAddress,"The postal, street address associated to the organization.",string,0..1,MAY,,LOCATION,"address_1, address_2, city, satate, zip, county",,,,
,roles,"The roles of the organization, ideally from a controlled vocabulary/ontology.",Annotation,0..n,MAY,,,,,"""care site""",,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Entity,Property,Definition,Value(s),Cardinality,Requirement Level,,,,,,,
,,,,,,,,,,,,
EXTENDED DATS- v.2.1,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TaxonomicInformation,,"The classification and nomenclature for an organism, or living entity.",,,,,,,,,,
,identifier,Primary identifier for the taxonomic information.,IdentifiersInformation,0..1,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the taxonomic information.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the taxonomic information.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The scientific name of detailing an entity,string,1,MUST,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Activity,"Superclass for Study, DataAnalysis, DataAcquisition, Treatment",A type of process scheduled in a study,,,,,,,,,,
